Yrkesområde;SSYK;Prognosyrke;Flagga på kort sikt ;Flagga på lång sikt
Transport;8321;Taxiförare;Ja;Ja
Transport;4323;Transportledare och transportsamordnare;Ja;Ja
Service- och säkerhetsarbete;5142;Hudterapeuter;Ja;Ja
Tillverkningsarbete;8213;Montörer av metall-, gummi- och plastprodukter;Ja;Ja
Installation, drift och underhåll;7233;Underhållsmekaniker och maskinreparatörer;Ja;Ja
Tillverkningsarbete;7523;Maskinsnickare och maskinoperatörer inom träindustri;Ja;Ja
Bygg och anläggning;8342;Anläggningsmaskinförare;Ja;Ja
Tekniskt och naturvetenskapligt arbete;2143;Civilingenjörsyrken inom elektroteknik;Ja;Ja
Tekniskt och naturvetenskapligt arbete;2145;Civilingenjörsyrken inom kemi och kemiteknik;Ja;Ja
Tillverkningsarbete;7214;Tunnplåtslagare;Ja;Ja
Administration, ekonomi och juridik;4112;Löne- och personaladministratörer;Ja;Ja
Bygg och anläggning;7114;Anläggningsarbetare;Ja;Ja
Bygg och anläggning;7213;Byggnads- och ventilationsplåtslagare;Ja;Ja
Bygg och anläggning;7131;Målare;Ja;Ja
Bygg och anläggning;7122;Golvläggare;Ja;Ja
Bygg och anläggning;7112;Murare;Ja;Ja
Bygg och anläggning;7121;Takmontörer;Ja;Ja
Installation, drift och underhåll;7413;Distributionselektriker;Ja;Ja
Bygg och anläggning;2142;Civilingenjörsyrken inom bygg och anläggning;Ja;Ja
Tillverkningsarbete;732;Prepresstekniker, tryckare och bokbindare;Ja;Ja
Tillverkningsarbete;5132;Bartendrar;Ja;Ja 
Tekniskt och naturvetenskapligt arbete;5120;Kockar och kallskänkor;Ja;Ja 
Tillverkningsarbete;5141;Frisörer;Ja;Ja 
Tekniskt och naturvetenskapligt arbete;3111;Ingenjörer och tekniker inom industri, logistik och produktionsplanering;Ja;Ja 
Tekniskt och naturvetenskapligt arbete;7212;Svetsare och gasskärare;Ja;Ja 
Administration, ekonomi och juridik;7221;Smeder;Ja;Ja 
Tekniskt och naturvetenskapligt arbete;7231;Motorfordonsmekaniker och fordonsreparatörer;Ja;Ja 
Hotell, restaurang och storhushåll;7412;Industrielektriker;Ja;Ja 
Hotell, restaurang och storhushåll;9310;Grovarbetare inom bygg och anläggning;Ja;Ja 
Service- och säkerhetsarbete;7311;Finmekaniker;Ja;Ja 
Tekniskt och naturvetenskapligt arbete;3112;Ingenjörer och tekniker inom bygg och anläggning;Ja;Ja 
Tillverkningsarbete;7111;Träarbetare och snickare;Ja;Ja 
Tillverkningsarbete;7411;Installations- och serviceelektriker;Ja;Ja 
Installation, drift och underhåll;7125;VVS-montörer;Ja;Ja 
Installation, drift och underhåll;7126;Kyl- och värmepumpstekniker;Ja;Ja 
Bygg och anläggning;7113;Betongarbetare;Ja;Ja 
Tillverkningsarbete;3322;Företagssäljare;Ja;Ja 
Bygg och anläggning;3113;Ingenjörer och tekniker inom elektroteknik;Ja;Ja 
Bygg och anläggning;816;Maskinoperatörer, livsmedelsindustri;Ja;Ja 
Installation, drift och underhåll;813;Maskinoperatörer, kemiska och farmaceutiska produkter;Ja;Ja 
Bygg och anläggning;814;Maskinoperatörer, gummi-, plast- och pappersvaruindustri;Ja;Ja 
Bygg och anläggning;815;Maskinoperatörer, textil-, tvätt- och läderindustri;Ja;Ja 
